,actual_coverage,# contigs,pooled_library,N50,L50,BGC_count,Complete BUSCOS (%),dataset,BGC total length (Mbp),Assembly length (Mbp)
246,0.0,17580.0,2,2468.0,4243.0,43.0,70.5,ELF,0.1-0.5,33.172427
247,32.384321671643924,9450.0,2,660.0,3823.0,0.0,2.1,ELF,<0.1,6.390069
249,247.33658054888298,910.0,2,579.0,403.0,0.0,,ELF,<0.1,0.540771
251,0.0,22877.0,2,1753.0,6013.0,16.0,62.88,ELF,0.1-0.5,32.704604
252,13.285107533643778,42680.0,2,1261.0,12326.0,5.0,,ELF,<0.1,47.831728
253,0.0,22912.0,2,1355.0,6574.0,4.0,38.03,ELF,<0.1,26.969728
254,0.0,19749.0,2,3598.0,4231.0,62.0,87.96,ELF,0.5-1,50.055532
255,374.8864318162338,55.0,2,578.0,23.0,,,ELF,<0.1,0.035001
257,0.0,23006.0,2,1418.0,6357.0,13.0,54.34,ELF,0.1-0.5,28.448029
258,0.0,10729.0,2,5310.0,2127.0,50.0,87.2,ELF,0.1-0.5,36.716216
259,0.0,27243.0,2,2306.0,5700.0,41.0,75.23,ELF,0.1-0.5,44.025089
260,28.082340783177884,2057.0,2,25145.0,332.0,42.0,91.54,ELF,1-1.5,27.90707
261,96.07745740767234,507.0,2,125851.0,70.0,35.0,95.35,ELF,1-1.5,28.042844
263,23.52852427514242,8709.0,2,686.0,3423.0,0.0,4.5,ELF,<0.1,6.117719
264,18.136697458399922,33306.0,2,1511.0,8490.0,7.0,68.9,ELF,<0.1,42.001966
266,44.096319610791035,21152.0,2,1507.0,5910.0,12.0,51.6,ELF,<0.1,26.933809
267,0.0,18134.0,2,3729.0,3865.0,58.0,83.84,ELF,0.5-1,46.859291
271,29.094077653692676,16987.0,2,1773.0,4460.0,12.0,62.96,ELF,<0.1,24.597903
275,21.01884957915738,12168.0,2,3545.0,2606.0,24.0,84.68,ELF,0.1-0.5,30.30943
276,0.0,19747.0,2,2304.0,4827.0,23.0,67.3,ELF,0.1-0.5,35.355796
277,0.0,17400.0,2,1082.0,5464.0,3.0,26.98,ELF,<0.1,17.475765
278,16.830586503950528,14911.0,2,2435.0,3543.0,8.0,73.32,ELF,<0.1,27.567845
279,126.3029975695382,88.0,2,2913.0,19.0,,,ELF,<0.1,0.177744
280,89.15350535038785,546.0,2,753.0,137.0,0.0,0.1,ELF,<0.1,0.475573
281,20.465979133169636,15281.0,2,2288.0,3696.0,13.0,67.23,ELF,<0.1,27.040331
282,23.146686894617027,11452.0,2,3777.0,2436.0,20.0,86.43,ELF,0.1-0.5,29.97173
283,21.76677111860977,17762.0,2,1288.0,5203.0,2.0,40.55,ELF,<0.1,20.328966
284,30.21682929539746,15579.0,2,3535.0,3489.0,39.0,91.62,ELF,0.1-0.5,39.575418
285,27.66520022568908,9942.0,2,4610.0,2200.0,13.0,70.43,ELF,0.1-0.5,32.710488
286,100.13137497999674,2879.0,2,2605.0,464.0,1.0,,ELF,<0.1,4.949192
287,205.1277742346416,1347.0,2,4742.0,189.0,9.0,,ELF,<0.1,3.659658
288,15.627407388410878,19331.0,2,1322.0,5351.0,2.0,30.03,ELF,<0.1,22.889171
289,172.19112635979343,2355.0,2,2362.0,371.0,1.0,,ELF,<0.1,3.928354
290,23.63567074421929,18333.0,2,2103.0,4640.0,1.0,39.41,ELF,<0.1,30.45863
291,0.0,15608.0,2,2898.0,3584.0,9.0,73.7,ELF,<0.1,32.999352
292,0.0,9319.0,2,8330.0,1593.0,68.0,86.89,ELF,0.5-1,45.127207
293,0.0,34467.0,2,1919.0,8235.0,12.0,52.97,ELF,<0.1,52.946838
294,17.633285119469885,26290.0,2,1224.0,7874.0,1.0,,ELF,<0.1,28.916994
295,0.0,6108.0,2,9287.0,1049.0,24.0,90.85,ELF,0.1-0.5,31.942698
296,221.3553575749794,2662.0,2,2632.0,371.0,0.0,0.2,ELF,<0.1,4.454758
297,117.49420190419781,8722.0,2,869.0,2080.0,1.0,2.5,ELF,<0.1,8.347137
298,19.21042247418682,12645.0,2,904.0,4248.0,0.0,3.66,ELF,<0.1,11.092299
299,0.0,23630.0,2,1242.0,6994.0,4.0,19.82,ELF,<0.1,26.360491
300,0.0,13130.0,2,679.0,5191.0,0.0,3.6,ELF,<0.1,9.136556
301,0.0,14831.0,2,2654.0,3519.0,30.0,81.33,ELF,0.1-0.5,29.79445
303,0.0,16162.0,2,2543.0,3707.0,20.0,67.38,ELF,0.1-0.5,30.728528
304,26.440024146019876,26604.0,2,923.0,8757.0,0.0,,ELF,<0.1,23.795226
305,0.0,9148.0,2,5818.0,1888.0,27.0,90.93,ELF,0.1-0.5,35.607985
307,23.044054018294908,22679.0,2,853.0,7888.0,0.0,7.09,ELF,<0.1,19.069021
308,0.0,22070.0,2,1431.0,6332.0,5.0,43.29,ELF,<0.1,27.007919
309,20.325602824291742,30109.0,2,1051.0,9038.0,0.0,,ELF,<0.1,29.900877
310,0.0,22781.0,2,1354.0,6562.0,2.0,44.66,ELF,<0.1,26.834252
311,15.589425259159208,14344.0,2,765.0,5292.0,0.0,6.25,ELF,<0.1,11.022568
312,67.02804751669609,2030.0,2,2127.0,351.0,1.0,,ELF,<0.1,3.12648
313,0.0,20951.0,2,2060.0,5337.0,26.0,66.84,ELF,0.1-0.5,33.95004
314,27.22955850252965,18509.0,2,1123.0,5771.0,4.0,32.62,ELF,<0.1,18.937617
315,0.0,17974.0,2,2230.0,4442.0,17.0,68.22,ELF,0.1-0.5,31.429524
316,0.0,9486.0,2,5264.0,1797.0,17.0,86.66,ELF,0.1-0.5,31.510139
317,0.0,21106.0,2,1724.0,5500.0,3.0,51.22,ELF,<0.1,30.366226
318,0.0,2268.0,2,23302.0,375.0,49.0,91.69,ELF,0.5-1,28.466704
319,0.0,13375.0,2,1286.0,3881.0,1.0,20.05,ELF,<0.1,15.344885
320,0.0,21304.0,2,2160.0,5223.0,37.0,77.29,ELF,0.1-0.5,36.432652
321,0.0,8544.0,2,5178.0,1736.0,59.0,93.06,ELF,0.5-1,29.318188
323,16.838039961925062,18527.0,2,3446.0,3773.0,39.0,80.26,ELF,0.1-0.5,44.158183
324,13.363181272070872,22843.0,2,1823.0,5769.0,4.0,58.2,ELF,<0.1,34.030714
325,11.59930441145562,36347.0,2,1266.0,9930.0,4.0,,ELF,<0.1,41.293377
326,0.0,8176.0,2,7078.0,1612.0,17.0,90.02,ELF,0.1-0.5,36.149695
327,0.0,1749.0,2,31235.0,280.0,42.0,92.61,ELF,1-1.5,28.522524
328,18.54272437115675,21974.0,2,885.0,7376.0,0.0,6.86,ELF,<0.1,19.145431
